1.0041,0.00043101,9.6218
1.0767,-0.0003103,8.1957
0.92453,0.00010509,3.5979
1.4398,-0.00030185,6.6446
1.203,-0.00030107,5.6477
0.76156,-8.255e-05,4.4451
0.70645,-0.00024434,6.713
0.89294,-0.00067841,7.5981
0.87206,-0.00062632,5.5475
1.2999,-0.00023054,6.1061
1.3732,0.0004308,6.3155
1.4033,-0.00010805,6.4109
1.3369,0.00040271,8.7947
1.0673,-0.00017331,5.0381
1.3061,-0.00029509,6.9256
1.2198,-0.00024477,6.921
1.2541,-0.0003335,5.1876
1.2551,-3.3301e-05,5.5472
1.3468,-0.00014164,6.1747
1.363,0.00018338,7.3775
1.2817,0.00016928,7.1098
1.3008,0.00012272,8.2651
1.2916,6.9492e-05,8.0361
1.4656,0.00016589,9.5499
1.2131,0.0004148,7.3445
1.3141,0.0011579,8.2153
1.2653,0.0007921,7.4571
1.2321,0.00011847,8.1194
1.3274,0.00059146,8.4505
1.3567,0.00040478,11.312
1.2829,-0.00014946,7.2232
1.4015,-0.00020663,6.7505
1.0176,0.00055265,6.8933
0.79476,0.0003611,8.4034
0.49655,-5.463e-05,9.1414
0.4291,-1.9445e-05,5.035
1.2368,0.00027263,4.6115
1.4252,0.000106,8.0715
1.2431,0.00013528,6.881
0.7885,3.5077e-05,6.0473
0.28971,-0.00039742,9.3424
0.54931,-0.00010523,7.6187
0.55133,-0.0011746,10.761
0.55964,-0.00019349,6.7757
1.0734,2.7335e-05,7.2868
1.2783,-2.439e-05,6.6353
1.3993,6.1243e-05,13.08
1.4432,-0.00043074,11.401
1.3556,1.6956e-05,8.6077
1.3112,-6.8755e-05,11.902
0.4388,-0.0002894,7.3578
-0.12656,-0.00052619,15.758
0.35396,-0.00051205,10.184
1.0281,-0.00021164,5.8188
1.1439,5.2391e-05,5.6101
1.3104,-0.00020097,7.1811
1.3256,0.00016829,7.4742
1.3769,-0.00037988,10.553
1.0225,-0.00018508,8.6532
1.0272,-0.00014108,7.3894
1.2754,-0.00044255,9.7108
1.1552,0.00034921,8.0443
1.2588,0.00069514,7.9316
1.4202,0.0016722,28.246
